data,taxa_desemprego,taxa_juros,taxa_inadimplencia,taxa_desemprego_lag1,taxa_juros_lag1,taxa_desemprego_lag3,taxa_juros_lag3,taxa_desemprego_lag6,taxa_juros_lag6,taxa_inadimplencia_ano_anterior,alta_inadimplencia
2018-10-01,11.04,6.2,1.44,10.79,6.29,10.22,6.1,10.17,4.97,2.3,0
2018-11-01,11.46,6.84,1.74,11.04,6.2,10.61,5.73,10.29,5.14,1.83,0
2018-12-01,11.59,7.02,1.82,11.46,6.84,10.79,6.29,10.37,5.35,1.39,1
2019-01-01,12.04,7.21,1.79,11.59,7.02,11.04,6.2,10.22,6.1,1.02,1
2019-02-01,12.28,7.54,2.09,12.04,7.21,11.46,6.84,10.61,5.73,1.02,1
2019-03-01,12.77,7.73,2.12,12.28,7.54,11.59,7.02,10.79,6.29,1.8,1
2019-04-01,13.36,8.27,2.43,12.77,7.73,12.04,7.21,11.04,6.2,1.36,1
2019-05-01,13.4,8.4,2.95,13.36,8.27,12.28,7.54,11.46,6.84,1.4,1
2019-06-01,14.31,8.56,1.95,13.4,8.4,12.77,7.73,11.59,7.02,0.72,1
2019-07-01,14.95,8.85,2.93,14.31,8.56,13.36,8.27,12.04,7.21,1.67,1
2019-08-01,15.62,9.43,3.09,14.95,8.85,13.4,8.4,12.28,7.54,1.6,1
2019-09-01,16.43,9.98,3.47,15.62,9.43,14.31,8.56,12.77,7.73,1.18,1
2019-10-01,17.57,9.96,3.53,16.43,9.98,14.95,8.85,13.36,8.27,1.44,1
2019-11-01,17.62,10.14,3.44,17.57,9.96,15.62,9.43,13.4,8.4,1.74,1
2019-12-01,18.61,10.44,4.43,17.62,10.14,16.43,9.98,14.31,8.56,1.82,1
2020-01-01,18.36,10.84,5.25,18.61,10.44,17.57,9.96,14.95,8.85,1.79,1
2020-02-01,18.93,10.79,4.31,18.36,10.84,17.62,10.14,15.62,9.43,2.09,1
2020-03-01,19.11,10.81,5.43,18.93,10.79,18.61,10.44,16.43,9.98,2.12,1
2020-04-01,19.08,11.24,5.04,19.11,10.81,18.36,10.84,17.57,9.96,2.43,1
2020-05-01,18.79,11.2,5.31,19.08,11.24,18.93,10.79,17.62,10.14,2.95,1
2020-06-01,18.33,11.49,5.08,18.79,11.2,19.11,10.81,18.61,10.44,1.95,1
2020-07-01,17.44,11.27,5.35,18.33,11.49,19.08,11.24,18.36,10.84,2.93,1
2020-08-01,16.71,11.01,5.73,17.44,11.27,18.79,11.2,18.93,10.79,3.09,1
2020-09-01,16.28,11.0,5.4,16.71,11.01,18.33,11.49,19.11,10.81,3.47,1
2020-10-01,15.25,11.6,5.4,16.28,11.0,17.44,11.27,19.08,11.24,3.53,1
2020-11-01,14.24,11.6,4.94,15.25,11.6,16.71,11.01,18.79,11.2,3.44,1
2020-12-01,13.57,11.21,4.57,14.24,11.6,16.28,11.0,18.33,11.49,4.43,1
2021-01-01,12.99,11.15,4.69,13.57,11.21,15.25,11.6,17.44,11.27,5.25,0
2021-02-01,12.78,11.51,3.94,12.99,11.15,14.24,11.6,16.71,11.01,4.31,0
2021-03-01,12.2,10.99,3.76,12.78,11.51,13.57,11.21,16.28,11.0,5.43,0
2021-04-01,11.92,11.04,3.21,12.2,10.99,12.99,11.15,15.25,11.6,5.04,0
2021-05-01,11.3,11.35,3.3,11.92,11.04,12.78,11.51,14.24,11.6,5.31,0
2021-06-01,11.16,11.15,2.79,11.3,11.35,12.2,10.99,13.57,11.21,5.08,0
2021-07-01,11.05,11.24,3.21,11.16,11.15,11.92,11.04,12.99,11.15,5.35,0
2021-08-01,10.63,11.21,2.39,11.05,11.24,11.3,11.35,12.78,11.51,5.73,0
2021-09-01,10.68,11.29,2.9,10.63,11.21,11.16,11.15,12.2,10.99,5.4,0
2021-10-01,10.3,11.46,2.58,10.68,11.29,11.05,11.24,11.92,11.04,5.4,0
2021-11-01,10.3,11.13,2.84,10.3,11.46,10.63,11.21,11.3,11.35,4.94,0
2021-12-01,10.26,11.15,2.74,10.3,11.13,10.68,11.29,11.16,11.15,4.57,0
2022-01-01,10.05,10.5,2.96,10.26,11.15,10.3,11.46,11.05,11.24,4.69,0
2022-02-01,10.49,10.76,2.58,10.05,10.5,10.3,11.13,10.63,11.21,3.94,0
2022-03-01,10.3,10.44,1.88,10.49,10.76,10.26,11.15,10.68,11.29,3.76,0
2022-04-01,10.49,10.19,2.16,10.3,10.44,10.05,10.5,10.3,11.46,3.21,0
2022-05-01,10.7,10.08,2.02,10.49,10.19,10.49,10.76,10.3,11.13,3.3,0
2022-06-01,10.81,9.99,2.1,10.7,10.08,10.3,10.44,10.26,11.15,2.79,0
2022-07-01,11.01,10.04,2.74,10.81,9.99,10.49,10.19,10.05,10.5,3.21,0
2022-08-01,10.97,9.39,2.53,11.01,10.04,10.7,10.08,10.49,10.76,2.39,1
2022-09-01,11.06,9.46,2.16,10.97,9.39,10.81,9.99,10.3,10.44,2.9,0
2022-10-01,11.34,9.15,2.14,11.06,9.46,11.01,10.04,10.49,10.19,2.58,0
2022-11-01,11.13,8.97,2.34,11.34,9.15,10.97,9.39,10.7,10.08,2.84,0
2022-12-01,11.39,9.02,2.01,11.13,8.97,11.06,9.46,10.81,9.99,2.74,0
2023-01-01,11.63,8.71,2.22,11.39,9.02,11.34,9.15,11.01,10.04,2.96,0
2023-02-01,11.92,8.66,2.42,11.63,8.71,11.13,8.97,10.97,9.39,2.58,0
2023-03-01,12.47,8.15,2.77,11.92,8.66,11.39,9.02,11.06,9.46,1.88,1
2023-04-01,12.34,7.85,2.65,12.47,8.15,11.63,8.71,11.34,9.15,2.16,1
2023-05-01,12.66,7.77,1.87,12.34,7.85,11.92,8.66,11.13,8.97,2.02,0
2023-06-01,13.25,7.71,2.76,12.66,7.77,12.47,8.15,11.39,9.02,2.1,1
2023-07-01,12.99,7.59,2.6,13.25,7.71,12.34,7.85,11.63,8.71,2.74,0
2023-08-01,13.4,7.27,2.8,12.99,7.59,12.66,7.77,11.92,8.66,2.53,1
2023-09-01,13.11,7.48,3.36,13.4,7.27,13.25,7.71,12.47,8.15,2.16,1
2023-10-01,13.38,7.53,2.15,13.11,7.48,12.99,7.59,12.34,7.85,2.14,1
2023-11-01,13.27,8.06,2.69,13.38,7.53,13.4,7.27,12.66,7.77,2.34,1
2023-12-01,13.47,8.05,2.97,13.27,8.06,13.11,7.48,13.25,7.71,2.01,1
2024-01-01,13.79,7.66,2.43,13.47,8.05,13.38,7.53,12.99,7.59,2.22,1
2024-02-01,13.15,7.96,3.38,13.79,7.66,13.27,8.06,13.4,7.27,2.42,1
2024-03-01,13.66,7.94,3.12,13.15,7.96,13.47,8.05,13.11,7.48,2.77,1
2024-04-01,13.56,8.35,3.32,13.66,7.94,13.79,7.66,13.38,7.53,2.65,1
2024-05-01,13.27,8.78,2.71,13.56,8.35,13.15,7.96,13.27,8.06,1.87,1
2024-06-01,12.96,9.22,3.3,13.27,8.78,13.66,7.94,13.47,8.05,2.76,1
2024-07-01,13.22,9.09,3.4,12.96,9.22,13.56,8.35,13.79,7.66,2.6,1
2024-08-01,12.93,9.36,3.12,13.22,9.09,13.27,8.78,13.15,7.96,2.8,1
2024-09-01,12.97,9.31,3.07,12.93,9.36,12.96,9.22,13.66,7.94,3.36,0
2024-10-01,12.75,9.94,3.16,12.97,9.31,13.22,9.09,13.56,8.35,2.15,1
2024-11-01,12.97,9.97,2.76,12.75,9.94,12.93,9.36,13.27,8.78,2.69,1
2024-12-01,12.33,10.28,2.98,12.97,9.97,12.97,9.31,12.96,9.22,2.97,1
